periode_data,jenis,kode_trayek,trayek,jumlah_penumpang
201901,BRT,1,KORIDOR 1,2223257
201901,BRT,2,KORIDOR 2,781605
201901,BRT,3,KORIDOR 3,9192
201901,BRT,4,KORIDOR 4,669417
201901,BRT,5,KORIDOR 5,890939
201901,BRT,6,KORIDOR 6,976411
201901,BRT,7,KORIDOR 7,872467
201901,BRT,8,KORIDOR 8,911731
201901,BRT,9,KORIDOR 9,1408962
201901,BRT,10,KORIDOR 10,737123
201901,BRT,11,KORIDOR 11,267869
201901,BRT,12,KORIDOR 12,208326
201901,BRT,13,KORIDOR 13,654831
201901,ANGKUTAN UMUM INTEGRASI,1A,BALAIKOTA - PIK,93208
201901,ANGKUTAN UMUM INTEGRASI,1B,ST. PALMERAH - TOSARI,62726
201901,ANGKUTAN UMUM INTEGRASI,1F,ST. PALMERAH - SENAYAN,33011
201901,ANGKUTAN UMUM INTEGRASI,1C,BLOK M - PESANGGARAHAN,44429
201901,ANGKUTAN UMUM INTEGRASI,1E,BLOK M - PONDOK LABU,94933
201901,ANGKUTAN UMUM INTEGRASI,1H,TANAH ABANG - GONDANGDIA,66742
201901,ANGKUTAN UMUM INTEGRASI,,TANAH ABANG - BLOK M,6973
201901,ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,30102
201901,ANGKUTAN UMUM INTEGRASI,,SENEN - TANAH ABANG,351
201901,ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2933
201901,ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,30808
201901,ANGKUTAN UMUM INTEGRASI,3E,CENTRAL LAND - PURI KEMBANGAN,20084
201901,ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,21583
201901,ANGKUTAN UMUM INTEGRASI,4B,ST. MANGGARAI - UI,190476
201901,ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,15118
201901,ANGKUTAN UMUM INTEGRASI,4F,PULO GADUNG - PONDOK GEDE,115361
201901,ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,36993
201901,ANGKUTAN UMUM INTEGRASI,5B,ST. TEBET - BIDARA CINA,3884
201901,ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,51805
201901,ANGKUTAN UMUM INTEGRASI,6C,ST. TEBET - KARET,253604
201901,ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - SENEN,117637
201901,ANGKUTAN UMUM INTEGRASI,6M,ST. MANGGARAI - BLOK M,85123
